Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2022-11-14,005930,삼성전자,KOSPI,,61900,2,-1000,-1.59,62900,62900,61700,15973416,993352234080,369529539845000,5969782550,STK,1
2022-11-14,373220,LG에너지솔루션,KOSPI,,604000,2,-20000,-3.21,618000,628000,602000,433612,265617414000,141336000000000,234000000,STK,2
2022-11-14,000660,SK하이닉스,KOSPI,,90900,2,-2600,-2.78,93900,93900,90900,2483441,227841495800,66175414978500,728002365,STK,3
2022-11-14,207940,삼성바이오로직스,KOSPI,,901000,1,1000,0.11,899000,914000,899000,56469,51062853000,64127774000000,71174000,STK,4
2022-11-14,006400,삼성SDI,KOSPI,,759000,1,12000,1.61,749000,783000,739000,429953,325894981000,52192278270000,68764530,STK,5
2022-11-14,051910,LG화학,KOSPI,,726000,2,-11000,-1.49,740000,760000,725000,261052,192447409000,51250041018000,70592343,STK,6
2022-11-14,005935,삼성전자우,KOSPI,,56700,2,-400,-0.7,57100,57200,55900,1009582,57086310300,46657675890000,822886700,STK,7
2022-11-14,005380,현대차,KOSPI,,176000,1,4000,2.33,174500,179500,174000,1379189,244360273500,37605600912000,213668187,STK,8
2022-11-14,035420,NAVER,KOSPI,,188500,2,-5000,-2.58,194000,194500,188000,1776156,339414130500,30923252522500,164049085,STK,9
2022-11-14,000270,기아,KOSPI,,69900,1,1900,2.79,68900,70700,68800,2220166,155478357800,28334897955300,405363347,STK,10
2022-11-14,035720,카카오,KOSPI,,58500,2,-200,-0.34,59300,60200,58000,5392366,318066932900,26052155298000,445335988,STK,11
2022-11-14,068270,셀트리온,KOSPI,,185000,2,-7000,-3.65,190000,192500,184000,605514,112873614500,26048963850000,140805210,STK,12
2022-11-14,005490,POSCO홀딩스,KOSPI,,294500,1,9000,3.15,292000,301000,291000,919941,273085466500,24906227235000,84571230,STK,13
2022-11-14,028260,삼성물산,KOSPI,,122500,2,-500,-0.41,123500,124000,121500,310291,38038550000,22893667422500,186887081,STK,14
2022-11-14,012330,현대모비스,KOSPI,,219000,2,-500,-0.23,220000,223500,218000,266514,58744970000,20648435586000,94285094,STK,15
2022-11-14,105560,KB금융,KOSPI,,49650,1,250,0.51,49400,49800,49150,951880,47169897250,20301739426200,408897068,STK,16
2022-11-14,055550,신한지주,KOSPI,,37250,1,50,0.13,37100,37500,37000,1085388,40385001950,19106796379750,512934131,STK,17
2022-11-14,003670,포스코케미칼,KOSPI,,234000,1,12000,5.41,222500,238500,222000,1268714,295842476000,18126393480000,77463220,STK,18
2022-11-14,096770,SK이노베이션,KOSPI,,180000,2,-2500,-1.37,182500,183000,177500,512502,92049047000,16643801520000,92465564,STK,19
2022-11-14,034730,SK,KOSPI,,222000,2,-5000,-2.2,225500,228000,221500,139616,31222915500,16461151038000,74149329,STK,20
2022-11-14,066570,LG전자,KOSPI,,95600,1,1100,1.16,94700,96900,94500,888814,85192133100,15644731018400,163647814,STK,21
2022-11-14,032830,삼성생명,KOSPI,,68000,1,600,0.89,67000,68000,66900,215040,14544356100,13600000000000,200000000,STK,22
2022-11-14,323410,카카오뱅크,KOSPI,,27900,1,300,1.09,28050,30250,27600,18426232,532231754350,13298086842300,476633937,STK,23
2022-11-14,003550,LG,KOSPI,,83800,1,400,0.48,83300,84400,83100,140748,11795414900,13181823213400,157300993,STK,24
2022-11-14,033780,KT&G,KOSPI,,93000,1,400,0.43,92800,93500,92100,545524,50760225520,12768202221000,137292497,STK,25
2022-11-14,010130,고려아연,KOSPI,,631000,1,9000,1.45,616000,648000,616000,77517,49161781000,12533652698000,19863158,STK,26
2022-11-14,015760,한국전력,KOSPI,,19400,1,400,2.11,19200,19800,18750,2658204,51709943750,12454103093800,641964077,STK,27
2022-11-14,086790,하나금융지주,KOSPI,,41250,2,-150,-0.36,41150,41550,41050,812760,33530686700,12206018385000,295903476,STK,28
2022-11-14,247540,에코프로비엠,KOSDAQ,우량기업부,115700,1,5100,4.61,112000,117000,111800,2325025,267881475100,11315615500800,97801344,KSQ,29
2022-11-14,259960,크래프톤,KOSPI,,224500,2,-2500,-1.1,225000,230000,220000,278254,62630671500,11016674102500,49072045,STK,30
2022-11-14,017670,SK텔레콤,KOSPI,,50100,2,-400,-0.79,50700,50900,50000,564041,28387785100,10963540514400,218833144,STK,31
2022-11-14,034020,두산에너빌리티,KOSPI,,16900,1,400,2.42,16700,17500,16500,11611161,197315610250,10787405757700,638308033,STK,32
2022-11-14,091990,셀트리온헬스케어,KOSDAQ,우량기업부,67300,2,-4000,-5.61,70700,71000,67100,1437497,98192372300,10649708270600,158242322,KSQ,33
2022-11-14,009150,삼성전기,KOSPI,,140000,2,-1500,-1.06,141500,143000,138500,578982,81563961500,10457117440000,74693696,STK,34
2022-11-14,011200,HMM,KOSPI,,21300,1,450,2.16,21250,21650,21100,2718580,58188047550,10416541264800,489039496,STK,35
2022-11-14,329180,현대중공업,KOSPI,,115000,2,-500,-0.43,116000,117000,114000,157098,18105296500,10208908340000,88773116,STK,36
2022-11-14,051900,LG생활건강,KOSPI,,652000,1,39000,6.36,619000,674000,618000,175737,114859860000,10183064444000,15618197,STK,37
2022-11-14,010950,S-Oil,KOSPI,,89800,1,200,0.22,90100,90900,88300,408038,36575803600,10109934721600,112582792,STK,38
2022-11-14,018260,삼성에스디에스,KOSPI,,128000,2,-500,-0.39,128500,130000,127500,84574,10893374500,9904358400000,77377800,STK,39
2022-11-14,036570,엔씨소프트,KOSPI,,442000,2,-23000,-4.95,462000,462500,440000,195858,87480954000,9703677724000,21954022,STK,40
2022-11-14,030200,KT,KOSPI,,36700,1,100,0.27,36600,36800,36350,1071798,39244063631,9582803353600,261111808,STK,41
2022-11-14,009830,한화솔루션,KOSPI,,49900,2,-400,-0.8,51200,52800,49700,2925973,149823342800,9544797000300,191278497,STK,42
2022-11-14,003490,대한항공,KOSPI,,25800,2,-700,-2.64,26500,26650,25700,1859458,48817609650,9500093053800,368220661,STK,43
2022-11-14,000810,삼성화재,KOSPI,,200000,2,-500,-0.25,200000,201000,199000,60639,12118939000,9474967400000,47374837,STK,44
2022-11-14,316140,우리금융지주,KOSPI,,11900,2,-50,-0.42,11950,12000,11850,1894775,22611975800,8663920533100,728060549,STK,45
2022-11-14,377300,카카오페이,KOSPI,,62700,1,3000,5.03,59500,70900,58900,9744228,635930465100,8320324798500,132700555,STK,46
2022-11-14,066970,엘앤에프,KOSDAQ,중견기업부,229000,2,-2600,-1.12,235900,236400,225100,966461,222354825200,8227882064000,35929616,KSQ,47
2022-11-14,024110,기업은행,KOSPI,,10750,1,100,0.94,10600,10750,10600,1025468,10977938750,8001231310250,744300587,STK,48
2022-11-14,011070,LG이노텍,KOSPI,,316000,2,-3500,-1.1,320000,321500,315500,265793,84690866500,7478805812000,23667107,STK,49
2022-11-14,302440,SK바이오사이언스,KOSPI,,94300,1,3200,3.51,92400,98200,91500,593886,56559982300,7240735537800,76784046,STK,50
2022-11-14,090430,아모레퍼시픽,KOSPI,,121000,2,-500,-0.41,122500,128500,120000,830219,103443003500,7077623839000,58492759,STK,51
2022-11-14,086280,현대글로비스,KOSPI,,181500,1,1500,0.83,181500,184000,180000,80235,14592250500,6806250000000,37500000,STK,52
2022-11-14,011170,롯데케미칼,KOSPI,,187500,1,13000,7.45,175500,191500,172500,562132,105433252500,6426641062500,34275419,STK,53
2022-11-14,097950,CJ제일제당,KOSPI,,417000,1,1500,0.36,416500,421500,413500,49273,20512040000,6277595562000,15054186,STK,54
2022-11-14,383220,F&F,KOSPI,,157000,2,-500,-0.32,157500,159500,154500,148853,23372752000,6014210775000,38307075,STK,55
2022-11-14,402340,SK스퀘어,KOSPI,,40500,2,-300,-0.74,40650,41200,40400,314038,12776929800,5729436625500,141467571,STK,56
2022-11-14,352820,하이브,KOSPI,,135500,2,-5500,-3.9,139500,141000,135000,186311,25706824000,5603383938500,41353387,STK,57
2022-11-14,326030,SK바이오팜,KOSPI,,70900,1,2700,3.96,69000,71400,68700,187625,13213180000,5552409425000,78313250,STK,58
2022-11-14,009540,한국조선해양,KOSPI,,76900,2,-1400,-1.79,78400,78800,76700,174359,13551551800,5442452620400,70773116,STK,59
2022-11-14,034220,LG디스플레이,KOSPI,,14650,2,-750,-4.87,15400,15450,14600,2298394,34181629750,5242000005000,357815700,STK,60
2022-11-14,032640,LG유플러스,KOSPI,,11950,3,0,0.0,12050,12150,11900,638040,7668887600,5217505763950,436611361,STK,61
2022-11-14,035250,강원랜드,KOSPI,,24250,1,100,0.41,24150,24350,23850,598780,14494013150,5188057125000,213940500,STK,62
2022-11-14,028050,삼성엔지니어링,KOSPI,,26350,2,-550,-2.04,27250,27450,26150,1496906,39968160250,5164600000000,196000000,STK,63
2022-11-14,267250,HD현대,KOSPI,,62400,1,600,0.97,62000,62600,61100,153895,9555795300,4929168504000,78993085,STK,64
2022-11-14,000720,현대건설,KOSPI,,43550,1,500,1.16,43500,44450,42800,1039987,45207673750,4849543565750,111355765,STK,65
